"POSTE_ID","ind","C_weekday","V_weekday","C_weekend","V_weekend"
604,"13",18.3481624758221,148.237911025145,3.10945273631841,119.049751243781
604,"14",16.6479690522244,171.119922630561,3.40796019900498,141.746268656716
604,"15",17.0502901353965,188.201160541586,3.30348258706468,147.199004975124
604,"16",15.2901353965184,253.305609284333,2.99502487562189,141.402985074627
604,"17",11.8549323017408,259.429400386847,3.19402985074627,131.189054726368
604,"18",9.35203094777563,157.845261121857,2.72636815920398,107.621890547264
604,"19",7.4100580270793,90.3056092843327,2.02985074626866,77.8706467661692
604,"20",3.86847195357834,52.9032882011605,0.796019900497512,48.2139303482587
604,"21",1.00773694390716,42.1160541586073,0.631840796019901,36.6666666666667
604,"22",0.711798839458414,32.2224371373308,0.353233830845771,29.5422885572139
604,"23",1.26499032882012,12.5628626692456,0.81592039800995,14.5273631840796
605,"00",0.171945701357466,3.00904977375566,0.0674157303370786,8.65168539325843
605,"01",0.280542986425339,1.86877828054299,0.213483146067416,5.25842696629214
605,"02",0.3710407239819,1.9683257918552,0.0786516853932584,4.15730337078652
605,"03",0.638009049773756,2.12217194570136,0.235955056179775,3.42696629213483
605,"04",1.06787330316742,4.47963800904977,0.303370786516854,2.60674157303371
605,"05",4.09049773755656,54.841628959276,0.966292134831461,14.9325842696629
605,"06",7.09502262443439,74.0904977375566,0.943820224719101,17.7078651685393
605,"07",12.1357466063348,109.217194570136,1.1123595505618,12.8539325842697
605,"08",15.3981900452489,71.9954751131222,1.1685393258427,20.5730337078652
605,"09",14.1493212669683,56.5972850678733,1.61797752808989,36.561797752809
605,"10",14.1402714932127,58.6470588235294,1.74157303370787,48.6966292134831
605,"11",14.4253393665158,62.6199095022624,1.67415730337079,55.2134831460674
605,"12",12.6334841628959,71.4389140271493,1.33707865168539,47.9550561797753
605,"13",14.3574660633484,95.4298642533937,1.13483146067416,46.4494382022472
605,"14",13.5067873303167,99,1.28089887640449,55.1348314606742
605,"15",12.1176470588235,80.5837104072398,1.43820224719101,53.6629213483146
605,"16",9.98642533936652,118.036199095023,1.43820224719101,49.7640449438202
605,"17",6.02714932126697,115.619909502262,1.1685393258427,47.6292134831461
605,"18",3.69230769230769,68.1900452488688,0.921348314606742,45.9325842696629
605,"19",2.43438914027149,39.3393665158371,0.674157303370786,32.6067415730337
605,"20",2.06334841628959,26.2488687782805,0.662921348314607,22.0224719101124
605,"21",1.24886877828054,42.5158371040724,0.415730337078652,20.8314606741573
605,"22",1.07239819004525,35.7828054298643,0.48314606741573,17.247191011236
605,"23",0.298642533936652,7.16742081447964,0.134831460674157,8.49438202247191
610,"00",2.53564547206166,20.0385356454721,1.77722772277228,48.9356435643564
610,"01",2.88246628131021,10.8535645472062,1.63861386138614,26.4752475247525
610,"02",3.17533718689788,9.15992292870906,1.53465346534653,16.1980198019802
610,"03",6.40847784200385,9.91907514450867,2.62871287128713,13.019801980198
610,"04",8.81695568400771,32.7244701348748,4.27227722772277,20.0049504950495
610,"05",18.3487475915222,166.028901734104,4.26732673267327,50.3861386138614
610,"06",44.3526011560694,389.816955684008,8.05445544554455,61.9950495049505
610,"07",53.0346820809249,453.680154142582,9.02970297029703,81.2079207920792
610,"08",55.3815028901734,317.244701348748,9.86633663366337,112.420792079208
610,"09",57.0211946050096,271.996146435453,11.6435643564356,169.420792079208
610,"10",58.2466281310212,273.219653179191,13.3415841584158,218.420792079208
610,"11",57.4527938342967,277.423892100193,12.5247524752475,272.306930693069
610,"12",51.0712909441233,298.18689788054,11.3366336633663,249.445544554455
610,"13",54.0154142581888,307.512524084778,9.28217821782178,245.673267326733
610,"14",54.7610789980732,355.227360308285,9.45049504950495,288.168316831683
610,"15",52.2273603082852,393.013487475915,8.46534653465346,282.445544554455
610,"16",42.3815028901734,488.52408477842,7.37623762376238,272.905940594059
610,"17",27.4489402697495,479.895953757225,6.76237623762376,267.787128712871
610,"18",18.9845857418112,322.491329479769,5.81188118811881,247.321782178218
610,"19",13.4547206165703,187.273603082852,4.54455445544554,174.163366336634
610,"20",9.84007707129094,127.924855491329,4.25247524752475,127.039603960396
610,"21",5.59344894026975,101.915221579961,2.3019801980198,98.0148514851485
