Year,Ligne,Localité Map,Montee_Weekday_vac,Descente_Weekday_vac
2018,70,Lamadelaine,227.3643836,249.6054795
2018,70,Leudelange,104.5013699,160.4164384
2018,70,Longwy,523.090411,580.8082192
2018,70,Luxembourg,4864.158904,4262.50137
2018,70,Mersch,159.1287671,173.5205479
2018,70,Pétange,1307.649315,1432.073973
2018,70,Pfaffenthal-Kirchberg,278.1726027,217.0821918
2018,70,Rodange,1723.29863,1557.460274
2018,70,Schouweiler,66.07671233,99.48219178
2018,70,Virton,28.16167665,43
2018,90,Bettembourg,1383.643836,1565.632877
2018,90,Hettange-Grande,683.7068493,888.7835616
2018,90,Howald,127.9890411,335.5232877
2018,90,Luxembourg,8424.243836,8582.309589
2018,90,Thionville,6657.961644,5491.076712
2019,10,Belval,0.983333333,83.88333333
2019,10,Bettembourg,50.85,10.90833333
2019,10,Clervaux,256.1287671,280.6958904
2019,10,Colmar-Berg,156.2986301,158.9890411
2019,10,Cruchten,109.7260274,95.35890411
2019,10,Diekirch,700.6027397,711.9671233
2019,10,Differdange,2.533333333,16.5
2019,10,Dommeldange,452.9150685,377.0082192
2019,10,Drauffelt,61.8630137,80.56712329
2019,10,Esch-sur-Alzette,15.05,71.19166667
2019,10,Ettelbruck,1794.249315,2074.386301
2019,10,Goebelsmühle,6.076712329,15.26849315
2019,10,Gouvy,90.82739726,38.25753425
2019,10,Heisdorf,184.2849315,181.9780822
2019,10,Howald,3.208333333,5.258333333
2019,10,Kautenbach,810.8739726,895.4986301
2019,10,Lamadelaine,0,2.2
2019,10,Lintgen,325.4849315,260.6219178
2019,10,Lorentzweiler,287.1780822,303.0547945
2019,10,Luxembourg,4673.942466,4222.079452
2019,10,Merkholtz,0.569863014,37.54246575
2019,10,Mersch,1677.260274,1710.558904
2019,10,Michelau,44.18356164,55.21917808
2019,10,Noertzange,2.233333333,0.925
2019,10,Pétange,0,3.808333333
2019,10,Wiltz,7.252054795,2.520547945
2019,10,Pfaffenthal-Kirchberg,1492.027397,1604.460274
2019,10,Rodange,0,0.375
2019,10,Schieren,156.8493151,161.7780822
2019,10,Schifflange,7.516666667,3.008333333
2019,10,Troisvierges,270.1917808,308.4191781
2019,10,Walferdange,355.1945205,329.769863
2019,10,Wiltz,570.339726,508.309589
2019,10,Wilwerwiltz,85.17808219,95.2109589
2019,16,Belval,65.88235294,53.52941176
2019,16,Belval,72.11764706,54.47058824
2019,16,Belval,670.9808219,968.6383562
2019,16,Belvaux,79.11764706,47.47058824
2019,16,Berchem,257.7647059,295.8823529
2019,16,Bettembourg,743.7506849,597.0684932
2019,16,Clervaux,279.490411,239.0630137
2019,16,Differdange,460.4493151,511.3917808
2019,16,Dommeldange,174.3506849,265.3232877
2019,16,Drauffelt,92.84657534,63.63561644
2019,16,Esch-sur-Alzette,1157.027397,1307.80274
2019,16,Ettelbruck,1193.646575,901.4109589
2019,16,Goebelsmühle,62.60547945,57.85753425
2019,16,Howald,95.44383562,129.3561644
2019,16,Kautenbach,330.8356164,255.1041096
2019,16,Lamadelaine,172.8547945,104.5506849
2019,16,Luxembourg,3498.052055,3243.673973
2019,16,Mersch,710.4630137,661.3671233
2019,16,Michelau,24.02465753,4.145205479
2019,16,Niederkorn,167.7647059,120.8235294
2019,16,Noertzange,94.23561644,118.3205479
2019,16,Oberkorn,219.7647059,189.8235294
2019,16,Pétange,297.9972603,251.2082192
2019,16,Pfaffenthal-Kirchberg,653.4082192,889.4
2019,16,Rodange,180.5753425,331.4383562
2019,16,Schifflange,337.6,340.9643836
2019,16,Troisvierges,332.339726,252.1561644
2019,16,Walferdange,127.8657534,194.5506849
2019,16,Wilwerwiltz,84.01369863,97.0739726
2019,30,Betzdorf,29.69315068,40.3890411
2019,30,Cents-Hamm,15.32876712,18.05205479
2019,30,Igel,65.33424658,85.69315068
2019,30,Konz,191.8712329,262.1671233
2019,30,Luxembourg,1668.90137,1620.243836
2019,30,Manternach,34.52054795,36.63835616
2019,30,Mertert,25.77534247,39.3369863
2019,30,Munsbach,76.6,82.57534247
2019,30,Oetrange,39.88493151,44.22739726
2019,30,Roodt-sur-Syre,63.66027397,58.8739726
2019,30,Contern,270.6630137,340.1671233
2019,30,Trier,738.7863014,505.6520548
2019,30,Trier,268.0657534,316.8383562
2019,30,Wasserbillig,537.7068493,531.5945205
2019,30,Wecker,106.2191781,113.6027397
2019,50,Arlon,2485.578082,2139.019178
2019,50,NA,2.712707182,5.955801105
2019,50,Bertrange,245.539726,281.2986301
2019,50,Capellen,172.9890411,173.4027397
2019,50,Clervaux,67.23529412,0.647058824
2019,50,Dommeldange,12,91
2019,50,Drauffelt,35.52941176,0
2019,50,Ettelbruck,134.8823529,50.52941176
2019,50,Gouvy,17.29411765,0
