id,label,cx,cy
803,Piennes,355.007,2132.72
804,Hierheck,347.768,903.801
805,Boevange,348.307,437.74
806,Wiltz,348.187,652.02
808,Sanem,347.047,1765.55
810,Belvaux,351.987,1857.36
817,Noerdange,340.747,1256.21
822,Hachiville,336.957,283.93
823,Reichlange,335.797,1165.8
825,Hoffelt,333.957,302.52
829,Kahler,332.157,1543.24
831,Hivange,332.147,1609.77
832,Klein-bettingen,332.147,1503.39
833,Steinfort,332.147,1479.79
834,Hobscheid,330.797,1392.52
835,Elvange,329.817,1294.16
836,Bascharage,329.777,1711.1
838,Wincrange,326.677,423.72
841,Grevels,324.037,961.83
842,Redange,323.167,1901.35
844,Niederpallen,316.217,1219.45
845,Brachtenbach,314.707,514.53
846,Hautcharage,314.518,1682.877
847,Huttange,307.297,1264.57
848,Hamiville,307.217,440.2
849,Wahl,305.657,1006.19
850,Hahne-boesch,305.077,1764.01
852,Hovelange,303.707,1287.52
853,Kuborn,303.007,914.43
859,Kaundorf,298.357,760.87
860,Lultzhausen,296.717,814.95
861,Crendal,295.937,413.69
863,Ospern,294.507,1138.17
866,Bonnal,292.257,827.26
867,Noertrange,292.027,613.76
869,Insenborn,288.887,839.56
870,Differdange,287.377,1822.45
871,Niederkorn,287.177,1787.95
873,Redange/Attert,286.237,1182.89
874,Grass,294.997,1530.92
875,Belvaux,285.167,1850.79
876,Winseler,283.307,652.82
877,Linger,282.917,1704.27
878,Eschette,279.146,1031.732
879,Derenbach,278.765,525.336
880,Sterpenich,277.597,1503.38
884,Nothum,274.357,725.34
885,Neunhausen,272.887,888.29
887,Troine,271.697,394.05
888,Eischen,270.997,1392.02
889,Beckerich,270.997,1278.1
892,Heispelt,263.077,944.54
893,Gruemelscheid,262.637,604.22
894,Troine-Route,262.267,444.72
897,Clemency,262.077,1633.42
898,Pétange,259.597,1735.97
900,Mecher,257.638,777.317
901,Liefrange,255.997,802.11
903,Allerborn,247.737,473.18
904,Pommerloch,244.017,683.56
905,Hostert,243.637,1075.8
907,Autelbas,241.247,1503.38
908,Hussigny-Godbrange,240.977,1907.26
910,Ell,229.937,1191.27
911,Oberwampach,229.417,524.28
913,Lamadelaine,223.657,1748.76
914,Nagem,219.117,1130.62
915,Berlé,217.507,694.61
916,Rambrouch,211.457,1022.34
920,Autelhaut,204.897,1503.38
922,Sélange,203.747,1597.23
923,Hondelange,203.747,1531.19
927,Oberpallen,202.977,1276.93
932,Niederwampach,197.477,543.45
933,Lannen,196.897,1123.99
934,Arsdorf,196.307,934.64
936,Koetschette,194.497,995.34
937,Doncols,193.767,645.6
939,Rodange,191.857,1761.73
940,Bavigne,191.807,769.44
941,Longvilly,185.157,500.89
942,Bilsdorf,183.347,955.97
945,Colpach-Bas,179.617,1219.16
946,Athus,174.337,1716.91
947,Frassem,173.077,1366.44
948,Sonlez,171.517,661.71
949,Baschleiden,169.647,827.26
950,Roodt(Ell),168.547,1112.83
951,Bras,168.077,614.26
952,Colpach-Haut,166.797,1180.11
953,Boulaide,166.087,847.24
955,Riesenhof,163.547,989.59
957,Messancy,158.407,1639.76
958,Petit-Nobressart,157.247,1150.73
959,Arlon,155.487,1413.78
960,Saulnes,154.387,1822.57
962,Haucourt-Moulaine,146.377,1860.45
964,Aubange,140.287,1729.58
965,Benonchamps,140.207,554.36
966,Harlange,131.517,749.56
967,Tarchamps,130.747,691.56
968,Bigonville,129.477,959.95
970,Longlaville,122.217,1801.44
971,Flatzbour,121.917,989.59
972,Herserange,120.257,1833.43
973,Watrange,120.247,715.45
974,Holtz,118.247,1071.34
975,Wardin,113.417,594.02
976,Mageret,108.577,528.16
978,Mont-Saint-Martin,97.597,1762.44
979,Mexy,91.927,1885.203
980,Surré,89.797,823.3
981,Wolwelange,83.157,1022.6
982,Longwy,74.367,1844.44
983,Perlé,69.757,1071.34
984,Marvie,54.257,575.02
987,Martelange,33.657,1012.66
990,Bastogne,17.698,564.115
288,Hettange-Grande,776.7869999999996,2060.86
321,Alzingen,754.9505729583243,1757.159233953166
323,Hesperange,751.5470330812011,1736.0741934652212
623,Bertrange,565.874,1567.6640745293814
642,Strassen,532.2600000000001,1557.478932151496
661,Mamer,507.2030000000001,1548.4300745293826
684,Capellen,484.10295380653326,1538.0188321032886
775,Malavilliers,380.297,2059.760000000001
854,Fingig,302.675,1619.624
902,Folschette,258.077,1055.08
