origin,dest,count
1071,4041,11.5384615
1071,4043,24.0274321
1071,4051,26.1115385
1071,4061,42.6168929
1071,4071,31.9627329
1071,4081,129.903937
1071,4091,18.2105263
1071,5011,69.6865285
1071,5031,27.6327904
1071,5041,5.2
1071,5051,6.57894737
1071,5091,69.8502024
1071,5111,27.5927602
1071,7041,10.65
1071,7071,20.2222222
1071,7111,10.1111111
1071,8021,35.5636364
1071,8031,9.63636364
1071,8051,25.7545788
1071,8091,40.1801471
1071,8101,47.4172619
1071,8121,16.0710526
1071,8131,3.33333333
1071,8141,49.8161765
1071,9021,4.625
1071,10011,29.5509179
1071,10111,52.631088
1071,10131,6.06666667
1071,10141,19.4166667
1071,11011,18.1666667
1071,11031,24.3785575
1071,11041,9.07692308
1071,11081,6.34782609
1071,12021,6
1071,12031,6.74074074
1071,12051,28.6666667
1071,21004,51.739507
1071,54137,27.6825503
1071,54138,42.525222
1071,54270,30.7194237
1071,54323,82.692328
1071,55545,28.5938421
1071,57022,42.525222
1071,57124,31.5841658
1071,57365,26.4808108
1071,57463,66.9959063
1071,57498,35.0344468
1071,57650,29.5785638
1071,57672,116.960321
1071,57733,35.0344468
1071,62063,24.9064764
1071,63067,24.3785575
1071,75056,26.4808108
1071,81001,511.573134
1071,81003,24.9064764
1071,81004,49.2850339
1071,81013,44.8734941
1071,81015,55.4744599
1071,82003,23.5890007
1071,82037,22.8372143
1071,83034,21.8458179
1071,84043,111.881989
1071,85045,53.2808501
1071,85046,181.351849
1071,91034,68.210925
1071,7211001,10.65
1071,7232018,20.9474741
1071,7235068,0
1071,10042115,24.3004013
1081,1011,12.2352941
1081,1031,14.7
1081,1041,5.42424242
1081,1061,93.9784143
1081,1071,30.4458204
1081,1081,2748.55649
1081,1091,111.725639
1081,1093,15.3684211
1081,2011,39.6105263
1081,2012,56.2142857
1081,2022,36.8333333
1081,2023,10.0670252
1081,2031,7.05879674
1081,2041,19
1081,2042,12.5714286
1081,2043,21.4285714
1081,2044,14.7
1081,2045,44.4444444
1081,2051,21.0625
1081,2061,10.7778071
1081,2071,66.5633987
1081,2111,59.0555556
1081,2131,21.4285714
1081,3011,247.598127
1081,3012,142.703715
1081,3013,107.230978
1081,3014,349.813402
1081,3015,93.7862069
1081,3016,36.7969925
1081,3017,96.5812865
1081,3019,302.120156
1081,3020,19
1081,3021,79.1664355
1081,3022,150.19281
1081,3023,285.319939
1081,3024,51.626281
1081,4011,123.188961
1081,4021,12.2352941
1081,4032,12.2352941
1081,4041,120.549432
1081,4043,21.4285714
1081,4061,19
1081,4071,113.795729
1081,4081,453.005694
1081,4091,208.044582
1081,4101,8.72
1081,5011,14.7
1081,5021,19
1081,5081,42.6627996
1081,5091,129.479288
1081,5111,46.2844215
1081,6081,11.8983874
1081,7061,21.4
1081,7071,39.76
1081,7101,13.5333333
1081,8031,6.1
1081,8101,23.5
1081,10061,12.2352941
1081,11061,10.0670252
1081,11071,12.9166667
1081,12011,36.8333333
1081,12051,15.3684211
1081,12071,9.14593267
1081,13011,23.5
1081,13071,19
1081,21004,28.2857143
1081,54137,6.57037455
1081,54323,5.04540964
1081,54575,6.57037455
1081,54580,6.503506
1081,57038,0
1081,57463,6.36097533
1081,57498,9.77156674
1081,57672,30.5587967
1081,81001,44.3733764
1081,81013,14.9328201
1081,91034,9.75494624
1081,7211001,22.5951012
1081,7232018,9.08385227
1081,7232201,0
1081,8212001,9.15043485
1091,1011,187.242857
1091,1031,119.777317
1091,1041,144.258058
1091,1051,106.583165
1091,1061,299.801529
1091,1071,161.250406
1091,1081,215.625239
1091,1091,8879.02347
1091,1093,749.083448
1091,1101,35.8525641
1091,1111,454.421655
1091,2011,55.2983787
1091,2012,90.5621118
1091,2021,200.1875
1091,2033,46.4705882
1091,2041,190.427083
1091,2043,75.8956544
1091,2044,87.9722222
1091,2045,47.6923077
1091,2061,40.9333333
1091,2071,166.52384
1091,2082,78.8913043
1091,2101,65.3816427
1091,2111,18.4206588
1091,2131,9.96674905
1091,2133,21.3086896
1091,3011,68.3542673
1091,3012,168.468891
1091,3013,303.571423
1091,3014,876.447167
1091,3015,516.483206
1091,3016,160.974821
1091,3017,133.706156
1091,3019,439.600242
1091,3020,29.7222222
1091,3022,90.9204545
1091,3023,300.081385
1091,3024,35.3913043
1091,4011,1014.44257
1091,4021,14.8461538
1091,4031,145.685714
1091,4032,98.7857143
1091,4041,51.5714286
1091,4043,31.0909091
1091,4051,53.4501279
1091,4061,25.5714286
1091,4081,628.392649
1091,4091,93.1944444
1091,5031,17.3386728
1091,5071,55.019697
1091,5091,165.166667
1091,5101,19.8557994
1091,5111,23.7692308
1091,6071,13.95
1091,7031,56.1302521
1091,7041,86.8156566
1091,7071,48.75
1091,8021,37.0714286
1091,8031,25.0666667
1091,8091,59.0863095
1091,8111,9.30769231
1091,8121,12.7380952
1091,8141,33.052381
1091,9021,5.35714286
1091,9031,7
1091,10121,5.25
1091,11021,8.88076923
1091,11081,43
1091,12011,12.5384615
1091,12021,52.6428571
1091,12051,5.14285714
1091,13051,39.1875
1091,13061,29.1428571
1091,54099,45.3956544
1091,54137,17.4600285
1091,54270,41.1195424
1091,54323,53.8193652
1091,54580,55.623045
1091,57038,126.247337
1091,57463,82.0031717
1091,57764,87.9211521
1091,81001,71.0746658
1091,81004,14.9667775
1091,81015,173.258111
1091,82003,97.5410247
1091,82036,14.3421108
1091,83034,20.1620189
1091,84043,56.2221503
1091,85045,179.880282
1091,85046,66.6548479
1091,7111001,8.24170417
1091,7211001,0
1093,1011,30.9375
1093,1031,27.2
1093,1041,90.6015872
1093,1051,92.9522267
1093,1061,274.065085
1093,1071,527.609143
1093,1081,15.3684211
1093,1091,824.201299
1093,1093,2665.33481
1093,1101,8.35294118
1093,1111,205.549076
1093,2011,75.3272727
1093,2021,128.666667
1093,2023,148.268908
1093,2031,114.889423
1093,2041,145.055556
1093,2042,96.8936901
1093,2043,37.9067358
1093,2051,21.0625
1093,2071,98.128553
1093,2082,45.789137
1093,2101,10.4
1093,3012,158.887121
1093,3013,116.141879
1093,3014,149.117933
1093,3015,100.066595
1093,3016,107.689773
1093,3017,96.3641603
1093,3019,366.759169
1093,3022,220.715477
1093,3023,167.25195
1093,4011,306.036835
1093,4021,30.5
1093,4031,56.6842105
1093,4041,22.2857143
1093,4043,19
1093,4051,16.6666667
1093,4081,333.387549
1093,4091,88.8881024
1093,5011,9.46666667
1093,5021,29.4920635
1093,5031,24.3413462
1093,5061,6.5
1093,5071,14.8
1093,5081,18.4818182
1093,5091,103.662775
1093,5111,18.5714286
1093,6071,25.5976471
1093,6111,17.2105263
1093,7021,24.5
1093,7041,10.5
1093,7071,29.0833333
1093,8021,12.0769231
1093,8031,9.63636364
1093,8051,5.9375
1093,8071,6.53846154
1093,8091,103.274082
1093,8111,10.1428571
1093,8121,20.2631579
1093,8131,3.75
1093,8141,15.9411765
1093,10041,8.58333333
1093,10141,14.7363636
1093,11051,126.07326
1093,12011,23.7272727
1093,12031,10.3684211
1093,12041,27.5263158
1093,12051,104.095767
