,StopPointCode,StopPointAuthority,StopPointShortName,StopPointPublicCode,StopPointStopType,StopPointLatitude,StopPointLongitude,passengers
51,1370014,AVL,Square de New York Quai 2,CROI014,busStation,49.613217363842,6.11529731745191,833
52,1126903,AVL,"Belair, Kierch Quai 4",AMST903,busStation,49.6108455963657,6.107504329526,862
53,2670027,AVL,Place de Liège Quai 2,VERD027,busStation,49.6083655485178,6.10798345593793,585
55,2146120,AVL,Barrière Quai 2,MERL120,busStation,49.6022816366424,6.09747733386373,669
1,1617081,AVL,Klensch Quai 1,GASP081,busStation,49.5929553179912,6.11991190790157,903
2,1122018,AVL,Alsace Quai 2,ALSA018,busStation,49.5965445625711,6.13111896443616,163
3,1870097,AVL,Tubishaff Quai 1,KOHL097,busStation,49.585753403856,6.10674763402249,541
4,1420176,AVL,Oradour Quai 1,DIDE176,busStation,49.6096427657857,6.10365757533249,731
5,1617053,AVL,Al Gaasperech Quai 1,GASP053,busStation,49.5920194835593,6.12171082786917,625
6,1617013,AVL,Bei der Auer Quai 1,GASP013,busStation,49.5912244075951,6.12482995845063,457
7,1870049,AVL,Kuelebierg Quai 1,KOHL049,busStation,49.5883177344867,6.11143929783855,414
8,1415057,AVL,Déportation Quai 1,DEPO057,busStation,49.5938529420828,6.12778930817769,289
9,1540036,AVL,Clemenceau,FRAN036,busStation,49.5898508774609,6.12784458779993,87
10,1420902,AVL,"Belair, Kierch Quai 2",DIDE902,busStation,49.6103477271302,6.10810144655759,131
11,2711009,AVL,Richard Wagner,WAGN009,busStation,49.5892208768167,6.12421436605709,233
12,1224032,AVL,Louis de Froment Quai 2,BEET032,busStation,49.5899250697588,6.11744724849756,88
13,1420179,AVL,Oradour Quai 2,DIDE179,busStation,49.6095270395722,6.1040659269785,695
14,1122023,AVL,Alsace Quai 1,ALSA023,busStation,49.5965106858641,6.13120399755592,301
15,2155129,AVL,Millewee Quai 1,MUHL129,busStation,49.592222205726,6.12733156614244,717
19,1870169,AVL,Antoine Quai 1,KOHL169,busStation,49.5839126100647,6.10006251983774,247
20,2163902,AVL,Monterey Quai 2,MONT902,busStation,49.6104348113069,6.12458530939321,682
21,1617060,AVL,Al Gaasperech Quai 2,GASP060,busStation,49.5925029435724,6.12089349852768,842
22,2163038,AVL,Wampach Quai 2,MONT038,busStation,49.6099304496015,6.12094620196232,638
23,1870903,AVL,Rue de Leudelange Quai 2,KOHL903,busStation,49.5821586135001,6.09756526191082,959
24,1420052,AVL,Sacré-Coeur Quai 1,DIDE052,busStation,49.6103207147168,6.11314250337976,524
25,1420901,AVL,"Belair, Kierch Quai 1",DIDE901,busStation,49.6104541458921,6.10839972895483,34
26,1420266,AVL,"Merl, Kierfecht Quai 1",DIDE266,busStation,49.6098981674438,6.09948906156089,586
27,1145110,AVL,Val Ste Croix Quai 1,AUBE110,busStation,49.6124972433819,6.09765941919409,966
28,1145160,AVL,Aubépines Quai 1,AUBE160,busStation,49.6153829727149,6.09829098398315,339
29,1512004,AVL,Kannerklinick / Maternité Quai 1,FEDE004,busStation,49.6178940431443,6.0976155799591,653
30,1210008,AVL,Centre Hospitalier,BARB008,busStation,49.6189072568583,6.09963241999518,273
31,1512007,AVL,Kannerklinick / Maternité Quai 2,FEDE007,busStation,49.6179434315288,6.09743263514767,156
32,2548001,AVL,Boy Konen,SPOR001,busStation,49.580350932062,6.09436572350474,857
33,1934902,AVL,Rue de Leudelange Quai 1,LEUD902,busStation,49.581773692207,6.09728370832643,264
34,1870122,AVL,Antoine Quai 2,KOHL122,busStation,49.58412236507,6.10053438100339,259
35,1870007,AVL,Rue Verte Quai 1,KOHL007,busStation,49.5895655443057,6.11529576566965,4
36,1224035,AVL,Louis de Froment Quai 1,BEET035,busStation,49.5905711496778,6.11774128167309,163
37,1145183,AVL,Aubépines Quai 2,AUBE183,busStation,49.6156427891464,6.09824785257398,820
38,1145125,AVL,Val Ste Croix Quai 2,AUBE125,busStation,49.61197171346,6.09751066351759,670
39,1420275,AVL,"Merl, Kierfecht Quai 2",DIDE275,busStation,49.6097751466346,6.09924716572783,631
40,2163901,AVL,Monterey Quai 1,MONT901,busStation,49.610481296799,6.12573168114265,406
41,1420063,AVL,Sacré-Coeur Quai 2,DIDE063,busStation,49.6102402106499,6.11316110636391,673
46,1415058,AVL,Déportation Quai 2,DEPO058,busStation,49.5937288299007,6.12822564010692,167
47,2155144,AVL,Millewee Quai 2,MUHL144,busStation,49.5919116799419,6.1267824023994,738
48,1617024,AVL,Bei der Auer Quai 2,GASP024,busStation,49.5913108056277,6.12468648342764,418
49,1224002,AVL,Klensch Quai 2,BEET002,busStation,49.5930158607141,6.11909179553352,172
50,1870006,AVL,Rue Verte Quai 2,KOHL006,busStation,49.5894170069108,6.1147509832267,615
51,1870022,AVL,Kuelebierg Quai 2,KOHL022,busStation,49.5881550098553,6.11104760128316,768
52,1870064,AVL,Tubishaff Quai 2,KOHL064,busStation,49.585956914032,6.1073306125417,357
2,2131024,AVL,Gabriel de Marie Quai 1,MARI024,busStation,49.6191563456898,6.16630539275682,30
4,1267016,AVL,Gabriel de Marie Quai 2,BRUC016,busStation,49.6184897101094,6.16516709580496,721
5,2630912,AVL,"Cents, Kierch Quai 2",TRÈV912,busStation,49.615191966255,6.15946016227643,428
8,2630902,AVL,Fort Dumoulin Quai 2,TRÈV902,busStation,49.6124261727119,6.14760341436142,470
9,1319054,AVL,Trèves Quai 1,CENT054,busStation,49.6177081528371,6.16998956387635,315
10,2539104,AVL,Charles de Tornaco Quai 1,SIMO104,busStation,49.6192292529464,6.16340712037074,546
12,1343002,AVL,Plateau Altmunster Quai 1,CLAU002,busStation,49.612806077805,6.14003553513589,84
13,2618007,AVL,Um Bock / Casemates Quai 1,THOR007,busStation,49.6116553778723,6.13498027257824,568
14,1319029,AVL,Trèves Quai 2,CENT029,busStation,49.6175707269377,6.16915288552331,284
15,2165903,AVL,Clausener Bréck Quai 3,MOUS903,busStation,49.6131450707895,6.14356010677756,614
16,2359041,AVL,Paul Albrecht Quai 1,POLF041,busStation,49.6206727971492,6.17423507660083,941
17,1831122,AVL,Tour Jacob Quai 1,JACO122,busStation,49.6116988100027,6.14219096973281,339
18,1831168,AVL,Rumm Quai 1,JACO168,busStation,49.6108227305066,6.13914100817474,632
19,2630017,AVL,Kéibierg-INS Quai 2,TRÈV017,busStation,49.6110139144956,6.14250794102815,680
20,2630062,AVL,Dinselpuert,TRÈV062,busStation,49.6107369570158,6.14076586507885,870
21,2630066,AVL,Kéibierg-INS Quai 1,TRÈV066,busStation,49.6109924283904,6.14273071476528,34
23,2630901,AVL,Fort Dumoulin Quai 1,TRÈV901,busStation,49.6125122366894,6.14853986225966,3
24,1831159,AVL,Rumm Quai 2,JACO159,busStation,49.610948310079,6.13985358116517,912
25,2630140,AVL,Tawioun Quai 1,TRÈV140,busStation,49.6138783586218,6.15433062908379,919
26,2630911,AVL,"Cents, Kierch Quai 1",TRÈV911,busStation,49.6151494249575,6.15955955835568,719
27,2618008,AVL,Um Bock / Casemates Quai 2,THOR008,busStation,49.6117265602266,6.13494840684259,960
29,2539028,AVL,Jules Salentiny Quai 1,SIMO028,busStation,49.6170313792362,6.15889622959122,574
30,2539072,AVL,Arthur Knaff Quai 1,SIMO072,busStation,49.6184674720502,6.16095893710492,834
31,1319932,AVL,"Cents, Waassertuerm Quai 2",CENT932,busStation,49.6207054932351,6.18258321492871,320
32,2539059,AVL,Arthur Knaff Quai 2,SIMO059,busStation,49.6179377324508,6.15953583085034,292
33,1319070,AVL,Carmel Quai 1,CENT070,busStation,49.6183580262648,6.17265203018962,671
34,1319067,AVL,Carmel Quai 2,CENT067,busStation,49.6183302571365,6.1722520804072,505
35,2359903,AVL,Camille Polfer Quai 3,POLF903,busStation,49.6197777945445,6.17626702682668,55
36,2359040,AVL,Paul Albrecht Quai 2,POLF040,busStation,49.620710420864,6.17430213655841,607
37,1319931,AVL,"Cents, Waassertuerm Quai 1",CENT931,busStation,49.6207887045944,6.18267534574129,833
39,1214009,AVL,Barrès Quai 1,BARR009,busStation,49.5958351174339,6.11597755542714,220
41,1934001,AVL,Am Eck Quai 1,LEUD001,busStation,49.5855968872745,6.09906315555343,596
42,1281026,AVL,Am Brill Quai 1,BRIL026,busStation,49.5882897834441,6.0991801056654,98
44,2432001,AVL,Fischerhaff Quai 3,ROED001,busStation,49.5912953327092,6.10531243309818,140
45,1320089,AVL,Artisans Quai 1,CESS089,busStation,49.5944709329005,6.10998223353521,934
46,1471902,AVL,Assurances Sociales Quai 1,ESCH902,busStation,49.5967692503315,6.11772172759728,578
48,1112901,AVL,Assurances Sociales Quai 2,ACIE901,busStation,49.5973620888291,6.11840648910939,742
50,1320088,AVL,Artisans Quai 2,CESS088,busStation,49.5940863902804,6.10899465025444,267
51,1319935,AVL,"Cents, Waassertuerm Quai 5",CENT935,busStation,49.6207364859194,6.18274759628991,510
52,2359904,AVL,Camille Polfer Quai 4,POLF904,busStation,49.6198337220531,6.17634687584831,514
53,1267903,AVL,Robert Bruch Quai 3,BRUC903,busStation,49.6172108111976,6.16547673284093,277
54,1321170,AVL,Fischerhaff Quai 2,CESS170,busStation,49.5915257923755,6.10553405222769,639
55,2539119,AVL,Charles de Tornaco Quai 2,SIMO119,busStation,49.6192907819207,6.16334815743499,432
56,2539011,AVL,Jules Salentiny Quai 2,SIMO011,busStation,49.6167632301563,6.15896721667238,509
57,2630083,AVL,Tawioun Quai 2,TRÈV083,busStation,49.6138208548073,6.15382169363153,6
58,1831085,AVL,Tour Jacob Quai 2,JACO085,busStation,49.6120806888686,6.14308240079933,110
